20090128152649AA9OJF0	Arts & Humanities;Books & Authors	What is the house of night series about?	i want every detail like how many books what are the called what are they about etc.
20090128170430AAokRLo	Arts & Humanities;Philosophy	The emphasis on emotion and imagination over reason was characteristic of?	a. socialism.     b. romanticism.     c. realism.     d.  symbolism.
20090128165839AAsyBp5	Arts & Humanities;History	Galileo was forced to recant many of his ideas by the?	a. English government.     b. Italian government.     c. Catholic Church.     d.  Protestant Church
20090128172058AAaVwud	Arts & Humanities;Books & Authors	Hi! Do you know any good books?	I'm 15 years old. And I want a good book. I have a high reading level, but a narrow interest. These are the book I love the most:   Twilight Saga (fave!)   Hunger Games (heart)  Graceling (love)  Narnia (can't live without it)  Princess Diaries (and most of Meg Cabot's books)   Books of Tamora Pierce (all)  Nobody's Princess (and sequel)   Inside Girl       So you see the problem that I have read so many books that I don't know what to do anymore. Any good recomendations?
20090128164334AADfbLo	Arts & Humanities;Books & Authors	A good book to read for a 13 year old?	I'm going to the library this week. I really want to read a good action or adventure book. One that would keep me reading. Any suggestions?    By the way, no Twilight, I'm really tired of it right now.
20090128165555AAgeJkC	Arts & Humanities;Visual Arts;Photography	What did you people see this photo is amazing?	You have got to see this rack, you will be impressed.        http://www.lakewoodconferences.com/direc... 
20090225144211AAMrnRs	Arts & Humanities;Philosophy	I wan start a biizzness but i hav only $1000 wat biiizzness shld i do?	i  wan  start  a  busineess  but  i  hav   only  $ 1000  wat   shld  i  do  ??      wat  kind  of  business  shld    i  do   with  only   $ 1000 ??      Serious  answers   only  please      Thank  You
20090128164622AAqojAc	Arts & Humanities;Visual Arts;Drawing & Illustration	How do you draw a lion in a net? ?	N/A
20090128171222AAP34er	Arts & Humanities;Theater & Acting	Easy songs to play on piano?	I'm 13 and my school is having a talent show. I took piano lessons for about three years but then stopped for about two years so I have forgotten some of what I know. I wanted to play Fur Elise but it's too hard, do you know anything similar but slightly easier to play?
20090128165859AAThK1n	Arts & Humanities;Books & Authors	Are the Blue is for Nightmare Series vampire books?	I was thinking about buying them but I have no clue whether they are vampire books or not.   It does not matter to me
20090128170947AAiqYEV	Arts & Humanities;Books & Authors	Answer asap! need answers by today! 10 points! lord of the flies help......PLEASE(:?	how does the author of lord of the flies show the difference between the beach and the forest on the island??       thank you!
20090128171427AAjxgY3	Arts & Humanities;History	Do you like my Timeline? 1900-1940?	So for school were doing a timeline of the 20 most important events in history from 1900 to 1940.   Heres my List.   Sigmund Freud Publishes The Interpretation of Dreams - 1900   First Trans-Atlantic Radio Signal - 1901   Russo-Japanese War Begins - 1904   Russian Revolution - 1905   Einstein Proposes His Theory of Relativity - 1905   Picasso Introduces Cubism - 1907   Turks Revolt in the Ottoman Empire - 1908   The Chinese Revolution - 1911   Ernest Rutherford Discovers the Structure of an Atom - 1911   Henry Ford Creates Assembly Line - 1913   World War I Begins - 1914   Russian Czar Nicholas II and His Family are Killed - 1918   League of Nations Established - 1920   Penicillin Discovered - 1928   Stock Market Crashes - 1929   Gandhi's Salt March - 1930   Holocaust - 1933   Mao Zedong Begins the Long March - 1934   Japan Invades China - 1937   World War II Begins - 1939      Am I missing anything crucial?
20090128165250AAUB4Gx	Arts & Humanities;Genealogy	Why do they say that Latins are non-white...what if you're part latin and part white?	In forms you see "Hispanic/Latin: not white" <--why do they say that?      My dad is Latin from Costa Rica, Anyway, my mom is European.So what does that make me?
20090128170918AAVAfLF	Arts & Humanities;Books & Authors	Why don't people make illuminations anymore?	An illumination was an illustrated type of book about particular subjects. They were beautiful. I wish they would make books like that again but update the art to the 21st Century.
20090128171326AAGgR0l	Arts & Humanities;Genealogy	What is the history of the family crest?	and can you make your own in the present day?
20090128164014AA5ijOr	Arts & Humanities;Philosophy	Do you crave love, compassion and understanding from others?	Why do you think that is?
20090128163751AAKIvRN	Arts & Humanities;Philosophy	What does it mean for something to be "important"? ?	Also, how do we determine something be more "important" than something else. For instance, if I were to say that love is more important than hate; or, if I were to say that person "A" is more important than person "B" how does a person determine this?      By the way, I'm asking this as a philosopher not as a general question I wish some else to answer for me. This question, I think, should be thought about an answered with good reason for me to believe your answer.
20090128164502AAAMIzN	Arts & Humanities;Books & Authors	PLEASE READ MY POEM!!!!Then tell me what you think?	Here is a poem that was inspired by my mom:      Live Life      Live life with a smile,   Because at some point you'll lose it.      Live life with happiness,   Because you never know when it'll get taken away.      Live life with love,   Because you never know when you'll find it again.      Live life like there are no second chances,   Because you might not get another chance.      Live life to the fullest,   Beacuse life is too short.               For more of my poems,go to poetry.com.Scroll down the page and type in Madelyn Rodarte.Click on any of the poems to read them.
20090128164809AAfbGCr	Arts & Humanities;Books & Authors	Does this sound okay? Is it interesting? Would you read the rest?	What Had Happened   "Hey, you." Jason said as I opened the door and he walked in. "Are you still going to Jenna's party on Saturday?" Jason asked me. Jenna is Jason's sister. They're both my best friends.    "Probably not." I replied. "Riley and I have a date, remember?" Riley's been my boyfriend for about 3 months now. He's sweet and caring, and can even be funny sometimes.   "Come on, you two have been hanging out all week, you can't skip one date to come to you're best friend's party?" He gave me the puppy dog eyes. I hate the puppy dog eyes.   "Fine, fine. I'll go."   "YAY!" He screamed so loud I was sure the whole neighborhood heard him. Then he jumped up and down with excitment and hugged me.   "Jason! Would you stop that and get off of me?"   "Fine, I'm going home to tell Jenna you're coming."   "Oh, wait, before you go, that book you wanted is down in the basement." I said.   "Okay, let me go get it and then I gotta head back to my place. Jenna wants me set up the party stuff. And by party stuff, I mean beer." He gave me a wink.    "How are you going to buy beer? You're only 17."   "I hired Bob to do it!"   "You hired that hippy to buy beer for you?" I gave him 'the look'. I always gave him that look when he was about to do something I didn't like.    "Don't talk trash about Bob. He comes in handy, you know."    When he came back up, I opened the door for him. Then something totally unexpected happened. He kissed me. On the lips. Somehow, I knew it wasn't a playful one. We've been friends forever, and we've never felt anything towards each other... or atleast, I hadn't. We always playfully winked at each other or gave friendly hugs, but never actually kissed. Plus I was going out with Riley now... why would he do this?   "Uhm..." we both said at the same time.   "I better get going," he said.    "Yeah, you should."   --------------------------------------...   The Next Week At School   The bell rang. I walked up to my locker and opened it. I grabbed my Geograph textbook, when I noticed a note sitting there. I didn't remember that being there. I opened it up:      I know about your little kiss last Wednesday with Jason, and if you don't do exactly as I say, I will tell. Come to the coffee shop tomorow at 3:30, and sit at the table by the piano. There will be a note under the foot of one of the chairs. Do what it says, and I just might keep your two timing secret.       How could anybody know about the kiss? The door was opened when he kissed me, but I didn't see anyone outside after I left. And since when did somebody know my locker combination? I've only told Jenna, Jason and Riley, incase they wanted to leave a note for me. The note is probably from Jason. The kiss was probably just a joke he wanted to play on me. Then, out of nowhere, Jenna walked up to me.   "Hey, Katie, did you find my note?"   "You wrote that? Why?"   "Because I need your math notes."   "Wait... what?" I was totally confused.    "I left you a note asking you for your math notes." The bell rang. "Hurry!" she urged. I handed her my notes. "Thanks," she said, then hurried back to class. Just like she said, I saw a note.       Hey, Katie, let me borrow your math notes. I left mine at home.    -Jenna      --------------------------------------...
