20090225101213AAS8M2R	Computers & Internet;Hardware;Monitors	Cylindrical box around the monitor cable?	Hej!         Whats the cylindrical boxes on both sides of the monitor data cable ends?
20070824181449AA8FNMz	Computers & Internet;Other - Computers	How do I made double space?	I am on WordPerfect 12. And I need to double space. How do you put it on automatic double space when typeing!? helpppppp
20070425020108AALUANH	Computers & Internet;Software	Nimo light, was suggested as a way of stopping some music vids playing up side down how do i use this?	hi can any 1 help i am trying to use my comp to play music videos on a continual playlist but some play right way up some dont ( big pain) but if i play each individual vidz  through VLC they all play fine ????? but i want to use a playlist so lots of vidz play continualy, it was suggested i use nimo and have downloaded nimo light -(what do i do next) how do i no change the video format to play right way up im using media player 11 ,       real player doesnt work either
20070427101210AAv1y6x	Computers & Internet;Software	Is MS Office 2007 better than MS Office 2003?	Which would you choose to use with Vista?
20070429040923AA9jDxR	Computers & Internet;Internet	Is this the saddest website in the Internet?	 http://storiesthattouch.blogspot.com/ 
20070501055131AABlNhj	Computers & Internet;Internet	Publishing a web site???	I have a web sit that i would like to publish...preferably for free.      Sources needed plz!
20070504004149AAhATxh	Computers & Internet;Internet	Can anybody show me a simpsons or  pokemon friendster backgrounds?	N/A
20070512034639AAr1PgU	Computers & Internet;Hardware;Laptops & Notebooks	Which is faster, P4 - 3.2 Ghz or PM - 1.6 Ghz?	Laptop 1:   Intel? Pentium? M 725      Intel? 855GME chipset      shared 64Mb Video setup      1.6GHz / 400MHz / 2Mb L2 cache      256Mb DDR-SDRAM      60Gb Mobile HDD        Laptop 2:    Mobile Intel? Pentium? 4 3.20A GHz      ? 512Mb DDR 333 SDRAM      ? 15.4in. WXGA LCD Screen      ? Embedded SiS M661FX, shared memory: 32Mb to 64Mb      ? 40Gb HDD with Ultra DMA 100        Which laptop is faster?
20070518110421AAQCois	Computers & Internet;Hardware;Other - Hardware	Is there an all-in-one scanner/fax that will fax multiple documents?	I'm looking for a machine that will scan the document into memory to start faxing and let you start scanning the next document to scan.      I've tried a couple of HP models (4315 is the one I have now) and they won't start scanning until they connect with the other machine.  I want to drop my document, dial, and go without having to wait (especially if the first try is busy).      Chris
20070521050533AAALRva	Computers & Internet;Other - Computers	What is DietMPOP?	N/A
20070528065718AAP7CSR	Computers & Internet;Software	How can i open my powerpoint on a mac computer if i use microsoft powerpoint 2007? my flash drive wont open it	I had to do a science project on powerpoint about global warming. I did but i did it on my cp which is compaq and my school's cp is mac. So i used my cp to do my powerpoint and used "Microsoft Office PowerPoint 2007".  And when i went to school to see if it works it said it could not open it. It was in my flash drive. So if anyone knows how to open a powerpoint on a mac cp please help me. or if anyone knows where i could dowload mac powerpoint on my cp plzz do put the link. i would really aprreciate it.
20070531102134AAeko6B	Computers & Internet;Internet;Other - Internet	Aiutatemi sono inesperta non riesco a far funzionare Emule....che cosa devo fare?	N/A
20070613030336AAApPr2	Computers & Internet;Hardware;Laptops & Notebooks	My volume isnt working it says i need a a mixer or somthing?	okey so like i cant hear nothing my volume icon isnt comming out on the task bar and no i dont have speakerss i have a laptop and i have windows XP like i dont know what to do all i did was restart it because of an upgradee and thenn i just couldnt hear nothing.soo i need some HELP I REALLY DONT KNOW WHAT TO DO!!!!!!!!!!         THKSSSS bUNCHESSS=]
20070620203351AAXrMBk	Computers & Internet;Hardware;Laptops & Notebooks	Why does my screen keep going blue on my iBook G4?	I spilled water into the side slits thingys yesturday and i immediately turned it off and let it drip out and dry..it has been 24 hours and not the screen just goes blue out of no where...its working perfectly fine other than that... what do i do? has anyone else had this probelm?..oh ya..its a laptop..thanks!
20070625085252AATqQ99	Computers & Internet;Other - Computers	Can you tell me the different of iMac and Mac Book Pro (Apple)?	I want to buy it. But, I don't know what is the best. Thanks for the answers.
20070701030032AALJctk	Computers & Internet;Other - Computers	Chat 3D??!! Helppppppppp?	qualcuno conosce chat 3D gratis e belle??
20070704125932AAnbCP1	Computers & Internet;Hardware;Laptops & Notebooks	Any opinion on Intel Wireless format 802.11 a/b/g? (laptop application)?	N/A
20070704130744AAuaZ0a	Computers & Internet;Security	If someone tells me that someone else is a fraud and hacker, how do I find out if this info is true?	I received an IM (from someone that I don't know) telling me that one of my contacts is a fraud, and account hacker.   How can I tell if this info is true.   They told me he was reported to yahoo, and that yahoo is taking action, and that I should check this out with yahoo if I have questions.   But I can't seem to find anywhere to contact yahoo directly in order to verify this information.   Can you please give me some advice as to how to contact yahoo and also how can I protect myself against this hacker if this information is true?   Thank you!
20070705075910AARdbLk	Computers & Internet;Software	Music downloader? Album Downloader?	does anyone know a free programme or website that downloads FULL albums not just single songs! PLZ help
20070708183413AAxjB2U	Computers & Internet;Other - Computers	What should i do to these files that i dowloaded to get the .avi file in the torrent?	i am downloading a torrent & inside it gave me 47 files & the extension is r1-r47
20090225101647AAY2VCL	Computers & Internet;Hardware;Add-ons	I need help with logitech webcam video effects.?	i have brought the logitech quickcam e3500 and it's supposed to have video effects but when i install the webcam i don't get any video effects. i have tried uninstalling and re installing the software and i;ve tried downloading the software from the logitech website. Please help. i have looked everywhere!      Thanks everyone,    x
20090225101728AAIgNOy	Computers & Internet;Programming & Design	Finding an IP address...... help please??:)?	Hello,      I need to find three ip addresses.      1: The address in a hotmail email that was sent to me and i have in my inbox.   2: The address of someones bebo page when they are online if possible?   3: The address of a bebo mail that was sent to me and saved in my inbox on bebo if possible?      Any helo would be great thank you!!      Ps: I was told that the ip address of the sender on hotmail wud be visible but i cant see it anyware!!!
20090225101741AAZ0AvL	Computers & Internet;Security	Wat r some proxy sites?	so i can get on facebook!
20090225101812AACy7oJ	Computers & Internet;Security	How can i find free email sites?	I have been searching the net for a long lost friend who lives in the mobile area and i know that she have a email address but i just do'nt know on which site and i need you guys help in finding her we have not seen eachother since 1995
20090225101832AAW1B7m	Computers & Internet;Internet;YouTube	Why is youtube not working today?	N/A
20090225103034AAgeQ5g	Computers & Internet;Hardware;Laptops & Notebooks	I have a Toshiba laptop that has xp installed on it.  I want to go back to the original Millenium os, how?	There is not enough ram to run xp so this is why I want to go back to the originall os.  Windows will not allow a downgrade from the millennium cd.  This computer is only used to go online, its a secondary computer.  (6 gig hard drive 64mb ram celeron processor.   HELP!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20090225102258AAAGFCs	Computers & Internet;Software	Which site is best for cs2 photoshop?	N/A
20090225102326AAABKmD	Computers & Internet;Hardware;Laptops & Notebooks	I have wifi in my laptop i afraid that does wifi could connect to another laptop wifi is it possible?	my question is this is one wifi in one laptop could be connected to the another laptop having  wifi if the wireless connection is not a  secured one bcos my wireless connection shows tat this is an unsecured connection, "information sent via this network could be  viewed by others" this information is  seen in view wireless network conncetion tab hence please say me that any one could see my laptop or get the information(any information like websites,text,pictures,cam could be viewed by other people does this is possible please answer my question as soon as possible please friends
20090225102346AAcmnE7	Computers & Internet;Computer Networking	What is the top news network and where do I find confirmation?	I'm looking for proof that The Fox News Network is the top news network, or the most watched.   Where can I find that info, or anything to the contrary?   Cable or basic TV. Doesn't matter.
20090225102724AAif7Yk	Computers & Internet;Hardware;Laptops & Notebooks	I have windows vista on my laptop, The close & minimize button no longer work, any one know how to fix this?	my windows vista close and minimize button no longer work, it used to work and all of a sudden stopped. It's a toshiba laptop, i tried to look up this prob but cant find any answers that work, please help
20090225102538AAP6XC8	Computers & Internet;Computer Networking	If a microcomputer uses a 20-bit address, how many different memory locations are there?	In a microcomputer, the addresses of memory locations are binary numbers that identify each memory circuit where a byte is stored. The number of bits that make up an address depends on how many memory locations there are. Since the number of bits can be ve. v large, the addresses are often specified in hex instead of binary.
20090225102620AAb4Gvd	Computers & Internet;Security	Can you give me a direct proxy for school?	I want to have a list of direct proxy for school
20090225102708AA1lsZ4	Computers & Internet;Hardware;Other - Hardware	Installing 2nd hard drive?	hi   when i try and install a 2nd hard drive and plug the ide cable into the motherboard my graphics card won't work    when i take everything out again my graphics card come on again    any ideas
20090225102711AAMYiOP	Computers & Internet;Programming & Design	Where can i get a good piece of game making software where i can use c++?	I have a beginners experience in C++, but i would like to apply it to a game making software that is free and has many tutorials! Any suggestions?
20090225102745AAUPnoU	Computers & Internet;Hardware;Add-ons	How do i save a download to my hdd ?	N/A
20090225102751AASZSxL	Computers & Internet;Hardware;Add-ons	Mikomi Webcam Install?	i have a mikomi webcam for windows live but i got it 3 years ago and have recently got a new computer and dont have the installation disc. how can i install it please help. thanx
20090225102903AA9mnf9	Computers & Internet;Software	Editing on Photoshop?	How do i make someone look drunk on photoshop?
20090225102922AA51jvZ	Computers & Internet;Software	Downloading question?	Is there any way to download directx on my computer???
20090225103047AAlICsJ	Computers & Internet;Software	Utorrent. Why is it taking so long?	So I'm downloading a torrent with utorrent and the ETA is 4d 15h(it keeps going up). Why would it be going so slow? I downloaded a torrent yesterday around the same size but that only took 6-7hours.
20090225103104AAdDuoU	Computers & Internet;Internet;MSN	Msn.......................?	i want to download the newest[?] msn....the one with the pictures on the left...link please..?
20090225103227AAGwS23	Computers & Internet;Other - Computers	How do I make my computer run faster without any cost?	My laptop was really fast and its an xp and one day it just stopped running fast and is really slow now?
20090225103323AAMcYDd	Computers & Internet;Software	Hi, I have one mp4 file shot by a mobile phone but I am not able play this file. Can any help ?	When I tried to play this file with Media Player Classic it gave following Error -          Media Type 0:   --------------------------   Unknown      AM_MEDIA_TYPE:    majortype: MEDIATYPE_Stream {E436EB83-524F-11CE-9F53-0020AF0BA770}   subtype: Unknown GUID Name {08E22ADA-B715-45ED-9D20-7B87750301D4}   formattype: TIME_FORMAT_NONE {00000000-0000-0000-0000-000000000000}   bFixedSizeSamples: 1   bTemporalCompression: 0   lSampleSize: 1   cbFormat: 0         Media Type 1:   --------------------------   Unknown      AM_MEDIA_TYPE:    majortype: MEDIATYPE_Stream {E436EB83-524F-11CE-9F53-0020AF0BA770}   subtype: TIME_FORMAT_NONE {00000000-0000-0000-0000-000000000000}   formattype: TIME_FORMAT_NONE {00000000-0000-0000-0000-000000000000}   bFixedSizeSamples: 1   bTemporalCompression: 0   lSampleSize: 1   cbFormat: 0      Thanks.
20090225103550AACg5qv	Computers & Internet;Software	Why won't my computer download anything?	I can't download anything on my new laptop. I've had it for 2 months and until now I've been able to download whatever I wanted. It won't download anything and it's driving me crazy. Please help.
20090225103641AA54mPA	Computers & Internet;Other - Computers	How do I get this to work?	I have windows xp and I just bought a Kingston 2GB DataTraveler100 flash drive to put into my usb port to put music and pictures on.  When I go to send something to it, it says "Please insert disc into D: drive".  The same thing happens when I go to "My Computer" and then click on the drive there.  How can I get this to work?
20070712072919AAhMeFc	Computers & Internet;Internet;MSN	Se qualcuno m ha bloccato, può sbloccarmi??	N/A
20070721183600AATenrJ	Computers & Internet;Other - Computers	Why are links automatically selected when i'm just hovering over it?	im not clicking, just have the cursor over it.      whatever i'm over will just open up just as if i clicked it.
20070724075906AAc7536	Computers & Internet;Internet;Other - Internet	I opened one IE window then many more kept opening by itself one at a time?	This is with my hp/vista notebook.
20070724224502AAdmsZq	Computers & Internet;Software	Where can i download microsoft outlook 2000 for free on the internet?	N/A
20070727171145AAOzIuQ	Computers & Internet;Internet;Other - Internet	Whats the Best way to Boost my website traffic?	Ive trying multiple different things for boosting my website traffic for  http://www.dealsneaker.com.  Any help? thanks
20070728082621AAKg4m3	Computers & Internet;Internet;MySpace	Can we use myspace layouts codes to  frienster?	N/A
20070729124758AA0Qfb9	Computers & Internet;Other - Computers	Anyone know where i can download the "Data 70" Font for free?	My Girlfriend is trying to create a Scrapbook for our 1st ever family holiday where we went with the kids to Euro Disney. We have some Buzz Lightyear pictures but the font that we need (Data 70) looks to cost ￡30. I'm not tight but really don't want to pay this much for a one off use.       Does anyone know where i can download this font for free or of any alternative ones which look like the "DATA 70" one
20070730121141AAIQh2K	Computers & Internet;Other - Computers	?Alguien me puede proporcionar emoticones de beso francés? =)?	O si me pasan el link de alguna página donde los pueda conseguir también se les agradece :D
20070815134328AAtoJSS	Computers & Internet;Security	Debugging my computer?	Please tell me in detail on how to debug my computer
20070817030229AAvofjL	Computers & Internet;Software	Can u plz tell me how to add video clipping to windows movie maker  which is already there in my mails?	N/A
20070820170919AAjogTv	Computers & Internet;Other - Computers	Visualizzare musica su msn?	ciao! nn riesco a visualizzare la musica ke ascolto su msn....nn è un problema di impostazioni di msn perkè so cm farlo...ma delle impostazioni di  VLC MEDIA PLAYER ke uso...come devo fare?? grazie
20070915015444AAYHbgM	Computers & Internet;Security	If U've experienced both of them (NOD32,Kasper sky) which one is the best?	N/A
20070916061121AASIeiH	Computers & Internet;Software	How to capture video clips from www.dada.net?	N/A
20070917172326AAtE40y	Computers & Internet;Internet;MySpace	I'm mad about this song that i don't KNOW the artist of and it's on my myspace?	*You can only look at my profile if you have a myspace    myspace.com/spicolli1203
20070919180322AAOCcjF	Computers & Internet;Computer Networking	What type of wireless card do i need for a 2-wire 2701hg-b gateway?	N/A
20070921103339AAu215Y	Computers & Internet;Software	NAT problem?	does anyone know how to fix a NAT error on Azureus i keep getting a NAT Error and i can't finish opening the program/music on my puter it wont open it.
20070925074424AAw5nS5	Computers & Internet;Hardware;Laptops & Notebooks	Is the 12.1" Everex StepNote ST5340T Notebook/Laptop any good?	Everex StepNote ST5340T AMD Athlon 12.1" UltraPortable Notebook PC.   Features:       * AMD Athlon? 64 X2 Dual-Core Processor TK-53         (1.70GHz) (512MB L2 Cache/1600MHz FSB)       * 1GB DDR2 533MHz SDRAM (512MB x 2)       * 120GB (5400rpm) Serial-ATA (SATA-150)       * NVIDIA GeForce Go 6100 (256MB shared)       * 12.1" Diagonal WXGA Widescreen Display with             DiamondBrite Technology (1280 x 800 )       * Ralink RT2571WF Wireless Network Adapter 802.11b/g       * Windows? Vista Home Premium       * 1-year standard limited warranty      I'm never sure of the AMD processors. I'm looking to purchase this computer as my everday laptop. Also, feel free to mention any other 12.1" Notebooks under $800.       http://www.officemax.com/max/solutions/p... 
20070928125948AAsBppO	Computers & Internet;Software	My Divx video will not play on Windows Movie Maker Vista???	please help my Divx video will not play...so i can't edit it on WMM....what can i do?
20071019012911AAvijvb	Computers & Internet;Other - Computers	T?i vào mail nh?ng kh?ng th? xem n?i dung, máy báo là ?ang loading Yahoo. Ai bi?t làm sao ?? ??c, xin ch? giùm	N/A
20071019155911AAF3D2h	Computers & Internet;Internet;MySpace	Is there a way to view Myspace messages which have been sent from profile which are now deleted?	N/A
20071204130842AAIp4HF	Computers & Internet;Programming & Design	Como hago para ponerle color a una aplicacion de dev c++?	no saben cuanto he investigado, pero no encuentro nada de dev c++; aparece borland c++ y otros, pero yo necesito es ese, ya que tengo un examen, y me van a ponerle color a una linea o algo asi. por fa ayuda con esto. necesito las librerias, las funciones y si me pueden ilustrar un ejemplo muchisimo mejor.
20071215074936AAuqosk	Computers & Internet;Other - Computers	Como hago para que no me copied musica el wmp???	es que meto el cd a la pc, y sin darle ninguna orden, emppieza a copiarse solito. necesito deshabilitar esa opcion; de donde se hace???????
20071130061344AAjTgWU	Computers & Internet;Software	Como hago para descargar pro cycling 2007 para pc gratis?	es un juego muy espectacular, y no lo he podido descargar; descargué el modo demo pero no puedo  jugar; algun link para descargarlo gratis? o alguna solucion para jugar en el modo demo?   por fa la explicacion paso por paso, pues soy un poco nuevo en eso de las descargas de software.
20071026100215AAkVnXr	Computers & Internet;Software	QuickTime Movie in Windows?	I have some QuickTime Movie files that I would like to share with a friend of mine. I have a Mac, she has Windows.      How can she open a QuickTime Movie file in Windows? Please be very specific, I have 10 points for your best answer!      Thank you, have a wonderful day, again ;)   !!!!!
20071127134045AAUrfs5	Computers & Internet;Internet;Other - Internet	Paginas para conocer gente?	En Mexico, cual es la pagina (como MySpace o Hi5) de "moda" para conocer gente online.
20071127120858AA4i9qL	Computers & Internet;Internet;YouTube	Como editar/colocar un video en Youtube?	Una amiga tiene una serie de videos (en DVD) de 30 min. cada uno.       Quisiera saber:   1. Como importarlos en la computadora   2. Como editarlos (para que sean 3 segmentos de 10 min. cada uno) y    3. Como hacer que sean  flvs o QuickTime Movs para poder colocarlos en Youtube.      Necesito la informacion para Macs y PCs.      Muchas gracias de antemano!
20071114091509AAljJSb	Computers & Internet;Internet;Other - Internet	Sky vivo su internet!!!?	qualcuno sa dirmi se e posibile vedere sky vivo su internet dall'estero??se si come?????????   gracias, merci, thank you grazie
20071222020353AA7dMtI	Computers & Internet;Internet;MySpace	Come faccio ad aggiungere una canzone al myspace???	sono andato sul myspace dell'artista d cui voglio la canzone, solo che quando clikko add mi dice ke l'artista non me lo consente in pratica....coza posso fare??? (la canzone e hot stuff di craig david)
20071210113520AAMJAMc	Computers & Internet;Software	Esiste un programma x scaricare musica?	ben fornito ke non occupi un casino di spazio???? xke io avevo emule ma mi occupava un casino quindi l'ho dovuto togliere x problemi di memoria(ke sto cercando di risolvere)
20071202040339AAaMiwq	Computers & Internet;Internet;MySpace	Myspace!!!?	come faccio a far partire la musica automaticamente su myspace ( se voletequesto e il mio indirizzo www.myspace.com/JeanM_ )io l'ho aggiunta la canzone ma nn parte!!!!!
20071230034305AAEvASP	Computers & Internet;Internet;Other - Internet	Esiste un modo x vedere i classici disney su internet???	tipo la spada nella roccia robin hood ecc....anche in inglese   grazie ciaoooo
20071204064037AAEPg4W	Computers & Internet;Internet;MSN	Consiglio?	Ciao a tutti! Sto sistemando un pò il mio Space di Msn però non so proprio cosa metterci! Qualcuno ha una bella idea?    Grazie a tutti! Buon pomeriggio!   Mary J
20071121073911AAcktH0	Computers & Internet;Internet;MySpace	Avete il codice di "disenchanted" dei My chemical Romance x la musica dello space?	grazie in anticipoooo!!      *DeByNa*
20071225131644AA8Z9dn	Computers & Internet;Other - Computers	Que es el product ID??	En realidad son 2 preguntas.   que es el product ID de un programa?      Ydonde puedo ver el product ID de los mismos       el que responde bien a las 2 se lleva los 10 puntos
20071230163307AAwebKm	Computers & Internet;Software	Problema con el NERO STARSMART?	Este problema me lanza ya cuando esta acabando la grabacion del DVD   18:37:40 #29 TRANSFER -24 File WriterStatus.cpp, Line 167    Could not perform end of Disc-at-once      QUE PUEDO HACER?
20071202100415AAt8zr9	Computers & Internet;Software	Como grabo un dvd?	holis bueno quieria saber como grabar un dvd....tengo una peli quie grabe y esta em avi y la otra en mpeg..como hago para converirlas para poder grabarlas en un dvd..me dan programas gratis quje puedo descargar para poder convertiralas? a y tambien saben se algun programa que pueda usar porque algunas de las pelis que tengo estan en otro idimomas (ingles,frances,) y bueno yo hablo ingles very good but,mis amigos y family no asi que me gustaria poder subtitular las pelis...hay algun programa gratis y rapido que haga la subtitulacion automatica o akgo asi??      bueno desde ya    gracias!!!      me re fui..............
20071130164115AABhLuW	Computers & Internet;Software	En que formato es mas facil pasar peliculas?	Para q los puueda leer el dvd
20071127042427AAvpLMT	Computers & Internet;Internet;MSN	Mi aiutate?? 10 punti al migliore!!?	ciao raga volevo mettere una bella frase al mio contatto msn solo che nn mi viene niente in mente..nemmeno su siti appositi ho trovato niente..mi aiutate per favore??ciao a ttt
20071201054924AAnEAmQ	Computers & Internet;Other - Computers	?como se ace en photoshop filtro Noise en Drust&Scratchescon radius: 5 pix. y thresholdt : 4 levels?	esk no lo entiendo y necesito saber como se ace
20071229144803AAuFeBA	Computers & Internet;Software	Need some help.?	Hi I was just wondering if anyone new if you could get software like WHMCS but cheaper?      Thanks
20071027083924AA49nMf	Computers & Internet;Software	F# from Microsoft?	Can somebody tell me what this F# is all about. I've heard its a new programming language from Microsoft
20071021221010AANP6g0	Computers & Internet;Internet;Other - Internet	Ch?n 1 nhan v?t nào  m? ??c tr? thành trong th? gi?i Yahoo! c?a b?n.Nhan v?t này ?c g?i là  ji`	N/A
20071023113336AAFEI6I	Computers & Internet;Programming & Design	IMVU downloading in a text file?	I've downloaded IMVU 385.0 and 384.6. My computer (a Mac with Windows) is trying to open them in a text file with TextMate. I can't open them in anything else, and of course seeing the HTML doesn't help.   Anyone have any answers?
20071023204450AATpz2Q	Computers & Internet;Computer Networking	Myspace and laptop??????	whenever i go on my laptop and go to myspace it dosint let me comment people or evan look at my space or top friends or anything i can only send messages
20071026030234AAwFIi8	Computers & Internet;Other - Computers	Komo le hago para kitarme una chava?	lok pasa es k yano me deja ni respirar, sabe k soy kasado y ni asi me deja
20071028021900AAN36ha	Computers & Internet;Other - Computers	Ho scaricato coolstraming ma non riesco a vedere italia 1?	Come faccio me lo spiegate?
20071028185413AAq03a0	Computers & Internet;Software	What is the best online job for an adobe photoshop expert?	N/A
20071028185712AAotyhT	Computers & Internet;Software	What's the best online job for an adobe photoshop expert?	N/A
20071029020630AAqpygX	Computers & Internet;Other - Computers	Cho t? h?i là ki?m ti?n trên m?ng li?u có th?t s? ?áng tin kh?ng ai có b?ng ch?ng cho mình xem v?i	N/A
20071101141556AAxCMlz	Computers & Internet;Internet;Other - Internet	10 PUNTI a ki mi dice come scaricre da questo sito!!!!(IRC)?	HO TROVATO UN SITO DOVE CI SONO DEI LINK PER SCARICARE LE PUNTATE DI THE O.C. DALLA PRIMA ALL'ULTIMA SERIE MA NN RIESCO A SCARICARLE MI POTETE SPIEGARE COME SI Fà? IL SITO è  http://listazeus.xdcc.it/  e cercate "the o.c."
20071125033319AAdafj0	Computers & Internet;Software	Tim????SMS STRANO DA PARTE DEL 4916?	all'improvviso mi è arrivato un sms ke diceva flat day attivata fino alle 24:00.   cosa significa?   ke cos'è?????
20071102012726AAdJham	Computers & Internet;Software	Rimuovere definitivamente programmi???	come posso eliminare definitiamente i programmi??   con quale programma???mi direste gentilmente il sito????
20071104060525AAHSe1L	Computers & Internet;Other - Computers	Emule ?10 punti al migliore!!!!!!!!?	quale server  devo usare per scaricare giochi?10 punti al migliore
20071115105603AAHLEZ9	Computers & Internet;Software	Where i can download command promt software to run foxpro application?	N/A
20071116012046AAi9fJ4	Computers & Internet;Software	Il migliore programma?	mi date un consiglio x un migliore programma x scarricare i film mususic ecc ho emul e limewire ma nn scarrico nllaaaa
20071122040209AAfGOp7	Computers & Internet;Software	Is there any free bootable hardware recovering sofware?	N/A
20071123100557AAzlp8B	Computers & Internet;Other - Computers	Mi potete dare i nomi di alcuni programmi come e-mule ecc.?	N/A
20071124112359AA98Ahs	Computers & Internet;Software	Hey does anyone know how to make a word document look like a notebook (like lined paper)?	my friend said it's in the project gallery thing, but I can't seem to find it. It's the setting that makes your document look like a lined-paper notebook.
20071130191130AAZWOBh	Computers & Internet;Hardware;Laptops & Notebooks	Hp DV6448se?	Saludos, tengo una hp edicion especial. en las especificaciones dice que la tarjeta de video llega a un maximo de 559Mb pero me he fijado y dice que tiene 64Mb, como puedo hacer para disponer de los Mb que faltan
