20090129083424AA1TAYF	Health;Other - Health	How can we control or get rid of Sweat?	I am kinda person who sweats a lot.under arms.too irritating,pls help me
20090129095202AAYStLH	Health;Women's Health	I need some help!!!!!!!!!!!!!!!!!!!!?	erm......  i need someone to talk to !! please i ave a BIGG problem please can someone email me on princess_eleni@hotmail.co.uk   please and dont be stupid about it !!! :(
20090129095739AAWe5XD	Health;Women's Health	Boob jobs!!                                ?	What is the average price for a properly done boob job? I'm only asking for an estimate amount thank you :-D!
20090129091347AAPN5lR	Health;Men's Health	How to give my boyfriend a b*o*n*e*r?	i want to know if hes really turned on by me, we are only at the first kiss stage, with hugs and kissing and holding hands.   And how do i know when he has one? Like how can i find out without being obvious?
20090129095739AAL4VUQ	Health;General Health Care;Pain & Pain Management	If i go to a doctor and this is my last straw, would it be helpful to prepare a letter to read to him?	I've got so much to say in treating my chronic headaches 12 years and no releif, i don't have much money and want to make sure i get the most out of our visit, would a letter help that i could read to him when we visit?
20090129090131AANmQN8	Health;Diseases & Conditions;Skin Conditions	Any possible diagnosis to this mysterious rash?	I've had a lot of mild health problems lately that I think were brought on by having Mono and the fact that it killed off my immune system.    Anyways, I've now got this weird rash. It started on my side.. Like right on my love handles. Now It's also on the inside of my right bicep, all around my left upper arm (where i happen to have a mole but i think thats unrelated), all up the INSIDE of my left leg (from the ankle to mid-thigh but only on the inside) and sort of randomly speckled on my right leg. It's mildly itchy, but i think that's because it's dry and flaky. It's sort of like a bunch of tiny tiny little red bumps.    I haven't switched laundry detergent or eaten anything different or switched soap or shampoo or ANYTHING like that... I haven't switched medication either.    It's winter here so my skin is fairly dry all over... I do get eczema on my hands from cleaning products, though haven't gotten it in about a year.. and I get psoriasis on my scalp. but no where else for either of them (yet).       Any ideas anyone?
20090129092213AA9tlh9	Health;Diet & Fitness	Is eating bagel every morning good for you?	I am eating bagel every morning with low fat cream cheese. I am afraid that I will gain weight. My husband says that it is good for you and he brings it daily to my work (he doesn't work). He knows I am trying to watch weight (I think he is getting insecure because I am losing weight and looking good). Please no rude answers.    My current weight is 136 and my goal is 125
20090129095125AAX0gCZ	Health;Other - Health	<3-----HELP WHAT IS THIS CALLED ???????????????	I have been quite unhappy about myself in the last month or so on and off. But lately, i will be almost crying then either someone will talk to me (i may not evan know them)they also might just say hi or i will do summin like play on my ds for 5 mins then i will be happy. Its really weird.   Is it called anything or do i have anything or is it too minor or is there no such thing? Does anyone else feel like this?       Don't comment unnecessarily    Thanx<3
20090129091450AA0vqnY	Health;Women's Health	Whats is going on with my period?	I take birth control and have for the past 5 yrs. I was on antibiotics at the beginning of the month and the last day of my medication I started my period 2 weeks early which has never happened with any other time I took antibiotics and I was suppose to start my period this week according to my birth control which is always right and it still hasn't come. I know that antibiotics mess with birth control, my husband and I didn't use a back up method. Why haven't I started? Is my birth control going to be irregular for a while?
20090129090139AAW0eMF	Health;Other - Health	Why do i feel like this when i wake up?	my head hurts pretty bad, and if theres sunlight hitting me i feel sick and i cant lay there any more even if im tired...i also get really thirsty and my nose gets stuffy.....
20090129090247AAE6QC8	Health;Diseases & Conditions;Skin Conditions	What are some ideal places to live with dry skin? I live in the Phoenix area and it's not the best.?	dry skin
20090129092615AAl0wM1	Health;Women's Health	Ummmmmm i dont get it?	i've been really tired lately, my back has been hurting, the tip of my nipples are white/light pink. the other day my breast seemed to be sore. i also have had brownish discharge only when i wipe for the past few days on and off i've been wearing a liner but its not needed. I am 27, i do have unprotected sex. on the 1st he came in me, but i started my period on the 4th. i dont have normal periods. sometimes i dont have one for a month or two. i had one nov. 19th, none in decemeber and then jan on the 4th. what is going on with my body and what's up with my nipples??
20090129092438AAQA7aV	Health;Mental Health	Im having a panic attack my chest keeps tensing up and i feel short of breath Help PLEASE?	help in soo scared i have a normal ekg    echo and circulation about 6 months ago and a recent ekg in oct
20090129090900AAH3cNL	Health;Other - Health	MY MOM ALWAYS HAS EXCESSICE MUCOUS AND SHE SAYS ITS RUINING HER LIFE?	every morning and night and all thru the day she has to spit because mucous builds in her throat constantly, sometimes choking her...doctors have given her nasal spray and mucinex but nothing works...has anyone had this problem and did u solve it...its kinda gross cus she has to hack and because she coughs so much it is causing her chest and throat pain...what could cause this?
20090129095254AAYBRaH	Health;Diseases & Conditions;Other - Diseases	What Happens After Radiotherapy?	I have been told by the Doctor, that the radiotherapy I had only works for 7 years. I was wondering what happens after 7 years. Does it mean I only got 7 years to live? I have a benign Brain Tumour.   Diagnosis: Recurrent Non Functioning Pituitary Adenoma      Treatment: Transphenoidal Surgery 2004   Evidence Of Slight Progression On Surveillance   Stereotactic Radiotherapy Delivered 47Gy in 25// Completed 25.11.08      I have been told by someone that you can only have radiotherapy once. Is that true?      I'm also worried about my daughter she is losing her hair, her blood test was normal...I'm worried she might have a Brain Tumour
20090129093523AAUhcbD	Health;Women's Health	Question about good hiding spots for things?	I have more than one question...how does planned parenthood charge you based on your income? Do you have to give them all LONG drawn out detail, taxes, and other things to them?      Also what would you think would be a great hiding spot that no one can find them? Do not lecture me please. I'm 20, talking to parents is out of the question they're very old fashioned.
