20090307160135AA84YER	Society & Culture;Mythology & Folklore	Do you Yahoo,, Or have you been Yahoood, or Do you Google or Have you been googled?	Who is watching you
20090307144048AAVgham	Society & Culture;Mythology & Folklore	Why doesnt dracula show up in mirrors? i know its random, but is it because he's dead?	im reading the book Dracula by Bram Stoker, and i also watched the movie Van Helsing. I've been curious as to why he doesnt show up in mirrors in the movie or in the book. In the book, Jonathan Harker [main character] says he doesnt see any mirrors in the gigantic castle, and he brings along a shaving mirror, and Dracula takes it and throws it out the window. Is the reason why he doesnt show up in mirrors because he's dead, and depends on other humans for blood? thanks! [:
20090307152118AA0vhNa	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	This is a tough one - What do u do when you are gay and fall in love with a girl who is confused?	I met this girl at a gay bar, there was an instant connection. Then she contacted me and asked me out. We went on 2 dates and then she said that she wasn't gay - she was confused. So, I backed off and decided to just be her friend but now that I've gotten to know her even more, I really, really like her! She has everything I've been looking for and when we're together, the chemistry is sooo strong, I get really frustrated. I don't know what to do. How do I respect her space and deal with these feelings. She said that she freaks out whenever anyone starts to like her so I can't talk to her about my feelings. And the weird thing is, I know she likes me too! She just won't allow herself to get involved with me. I don't know, I'm just sooo frustrated and confused! What should I do? HELP PLEASE!
20090307152851AAEQYJ6	Society & Culture;Religion & Spirituality	Spiritually speaking: Does the Dark Side? offer good dental?	N/A
20090307140520AAfd1Ev	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Was Prop 8 fair, yes or no?	This is from one of my homemade video games.   The Adventures of Music the Ranger: The Fight for Prop 8      (November 5th, 2008. After Prop 8 passes)   DR. GAYMAN: Music the Ranger, why must you always muck in my mud? Oh look, I have a mask helping me too! We'll find out which one is more powerful soon enough!      (At SF City Hall, penultimate boss battle)   GAVIN NEWSOM: The doors wide open now! It's gonna happen... wheter you like it or not! So bring out the butter. I'm gonna make toast!       (Before entering the Supreme Court on March 5th, 2009)   DR. GAYMAN: So... you want to go a few rounds! When this is over, we'll see who is obsolete!      (After Prop 8 is upheld)   DR. GAYMAN: I'm sorry. This is the part where I'm supposed to be angry. Filled with rage. Insensed beyond belief. Once again, you have outsmarted and outspun my best henchmen. I should be rather upset, shouldn't I?   YANG-YANG: And in fact, we're furious! But we seemed to have overlooked one small little detail, you little delivery boy! Now that you have Prop 8 in your hands, all we have to do... take it from you!      FINAL BOSS BATTLE: DR. GAYMAN      (After Gayman is defeated and the sanctity of marriage is saved)   DR. GAYMAN: Defeated again! This is not fair! Maybe I should retire... to a nice, big beach, with a nice big drink. And a man, with nice, big (points between his legs)... bags of ice for my head!
20090307132734AAIy8dK	Society & Culture;Languages	Can you spell this in japanese for me?	I dont have my laptop so this computer doesnt have Japanese keyboard. Can you write this name for me here?   Jessica   Jesshika   in katakana      just like this    http://www.zazzle.com/jessica_your_name_... 
20090307141338AASCpnG	Society & Culture;Religion & Spirituality	If Satan apologized and REALLY meant it would God forgive him and allow him back into Heaven?	N/A
20090307143716AAudGkP	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	I am a transsextual MtF. I have finally come to terms with acepting it. Any suggestions on how to switch sex?	I need help. should i start dressing as a girl i've always wanted to. i am still in high school and have been to counsilers about gender. And they've helped me throught it. Where do i start i've been buying a bit of makeup. Any suggestions.
20090307145515AAsHDft	Society & Culture;Languages	Is the name Salma heyak sound or is arabic to you?	I know salma hayek is mexican but i think her name sound arab do you think so
20090307130511AAua0m9	Society & Culture;Religion & Spirituality	What are some good books 2 read about the Wiccan religion?	N/A
20090307135210AARtqIi	Society & Culture;Mythology & Folklore	How do you make a trident?	I want to know how to make a trident (not sharp of course) mainly out of wood.
20090307143810AARqXkM	Society & Culture;Religion & Spirituality	Are biometric passports and subcutaneous electronic CHIPs the sign of the beast, predicted in the Bible?	Romania, my native country, started as her older sister the USA, to implement subcutaneous electronic CHIPs. Outrageously the church approved this law that has to be fully applied starting first july this year. People had a mass reaction on this law especially religiously. However it has to be mentioned that this kind of electronic device will be initially a memory card that contains all personal record (including infractions, economic transaction even the little ones like food purchasing, personal titles and abilities, degrees, all the money u have, bank accounts, credit cards, driving license, etc), but later it will become a tracking device too, maybe even something like a remote control. Although this sounds science fiction, we must remember that the PC that u have before u has been science fiction too a long time ago. It is also known that bar code that these chips have within themselves has the number 666, whatever that means. The Church agreed with these chips maybe because the Prophecy has to be fulfilled so there is no reason to change the law because this is God's will but we may refuse this law. However refusing it will deny u from society, i.e. u may get convicted, even executed (as the Apocalypse says). These Chips makes u a soldier on a huge chess table. U may get controlled any time anywhere. If u disturb the Government you may loose everything u have achieved during a lifetime by just clicking a computer command: all money, degrees, everything. So life becomes totally uncertain unlike it is promised by these chips. If u commit an delict even if u serve time in prison for that, u will always be chased by your sin, because all security sistems will be alerted when you'll go shopping, looking for a job etc. So the Antichrist is the opposite to Jesus: If Jesus washes away your sins, the antichrist doesn't forgive you for the littlest sin. It is also known that everything is tied on earth will be tied in heavens too. So if we will not be forgiven for our sins in earth there we receive no excuse in heaven, so the Sacrifice of Our Jesus Christ will stop working. So are these chips (electronic devices) the sign of the beast or not?
