20090220072842AAGP4V1	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	How can you tell if there faking it ???	you know what i mean.
20090203125347AAJiAbH	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Are people in their 20s more stronger then people in their Teens?	Like if all teens had a war against all people in their 20s who would win.
20090220081120AA0LXVs	Society & Culture;Languages	What is the stroke order of the radical in 运 and 过?	I just need to know.
20090203130137AAk2Uvq	Society & Culture;Other - Society & Culture	Dressing Up when you should be Dressed Down, or Dressing Down when you should be Dressed Up?	Lol, which do you think is worse?
20090220081630AAITEtH	Society & Culture;Cultures & Groups;Other - Cultures & Groups	What do you think of band members?	I'm in a middle school band, and everyone says that people thank that we're losers. But the way i see it is that the rock band people are members of a BAND. We just play different music. Its not like we center out lives around it. We've even got football players, that they're calling losers. What do ya'll think.
20090220081725AA8D9bE	Society & Culture;Languages	Please translate this japanese sentence?	What does "ai wa subete wo kanzen ni musubu obi de aru" mean in Japanese?
20090220081224AAA03iM	Society & Culture;Other - Society & Culture	What do u think about Arabs?	N/A
20090220081113AAAH0gu	Society & Culture;Etiquette	Why do people ask questions on this site?	really?
20090220081646AAdpEzc	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	What are some good free online dating services for gays?	was just wondering if anyone knew any good online dating sites for gay people. I'm not looking for a "lets hook up and have sex" kind of thing. Im looking for a quality match making/dating service where I can meet local guys close to my age (20) and location. Also, one thats free or at the least cheap. Im not too interested in paying a monthly bill for something I may or may not yield a benefit from. (I already have insurance for that)
20090203125044AAaczSP	Society & Culture;Mythology & Folklore	Is it one person or a group of people who start an urban legend? Are urban legends usually based on truth?	N/A
20090220081235AAkaJRC	Society & Culture;Other - Society & Culture	11:11 make a wish ...........*?	ugggh go on a Vcayyy!
20090220081328AA84qRD	Society & Culture;Religion & Spirituality	Why did some anti-semites compare today's annexation of West Bank land to something Hit ler would do?	God never gave Adolf any land.
20090203130057AAovhNl	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Are there any no white people here that listen too rock music etc?	N/A
20090203130130AAnRA6J	Society & Culture;Cultures & Groups;Other - Cultures & Groups	People who know emo really well please answer this!!!?	btw this isn't my account I'm using her's im her new best friend^^         today my friend was wearing bright blue skinny jeans and a white shirt with different colors on it that kind of looked like paint, and she was happy. is that very emo?i don't think it is. i told her that and she said she didn't care and emo was mostly to her being unique and different for everyone else
20090203125726AAKF0dO	Society & Culture;Mythology & Folklore	The totally normal event?	does anyone know where i could find out when there would be another one, or when/where there would be something similar?
20090220081509AAChbMg	Society & Culture;Holidays;Halloween	Costume Party Idea's?! Please Help!!?	The theme is 'fictional characters'      I guess that can mean from a book, or comic, or film, or TV programme.      Any ideas?!
20090203130059AAZ4PAb	Society & Culture;Cultures & Groups;Other - Cultures & Groups	I found a lost cat what should i do?	( i already like it)
20090220081952AAbVzdZ	Society & Culture;Religion & Spirituality	What are some good things Lutherans believe ?	N/A
20090203125036AAdHyzQ	Society & Culture;Religion & Spirituality	Do you think it would be immoral if humans started creating clones for the purpose of using them as lab rats?	If in the future, people cloned humans and used the clones to experiment on in the name of scientific and medical progression? Would clones be classified as humans or not?
20090203130034AAroE0p	Society & Culture;Languages	Anyone know an easy-to-learn language?	Hi, I already know English, French and German, but I'd like to learn another. Preferably an easy one. Please help me.
20090203125330AAEhQrJ	Society & Culture;Religion & Spirituality	Why do people feel the need for organized religion?	If you think about it, no offense (i'm not knocking anyone's religion) but religion in general, it has caused a lot of problems.
20090203125029AArJlhR	Society & Culture;Religion & Spirituality	How do Christians believe God came to be?	How was it he was created and how did he create everything out of nothing? If he created everything, how was it he came to be?
20090203125901AAfQ4XV	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Where to find girls/guys who like Transguys/Bois?	Yeah obviously I don't really need too much of an introduction, the title basically says it all.  Any websites or anything y'all can direct me to?
20090203125026AAXCNmS	Society & Culture;Other - Society & Culture	Why do we wear clothes?	By now I've asked this question once before ( http://au.answers.yahoo.com/question/ind...  and have yet to see any convincing benefits to constantly being clothed. Is clothing ALWAYS necessary, or just a habit?      Think about it: clothes trap a lot of oils, and continually hiding your body makes you much more self conscious whenever you get naked. Every nudist has said it makes them feel more comfortable about their bodies. Maybe we shouldn't be naked for everything, like buisness meetings and more serious events, but can't we be naked more in casual situations?
20090203125058AAlQb2D	Society & Culture;Other - Society & Culture	Are American High schools like the ones you see on TV?	I'm from England, and the more TV I watch with people my age at high schools in America, I kinda wish I was there. eg . Buffy the Vampire Slayer. It's so cool how they don't wear uniform and stuff. And what is a freshman? And a sophmore? I have no idea what they mean...
20090203125143AAnWubr	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Do latinos get mail delivered to their homes? (10 pts.)?	If not all, most?
20090203125149AA0lxep	Society & Culture;Other - Society & Culture	Question for People who Live In Brazil?	I'm wondering, in the cities "Blumenau" and "Bombinhas", how is it different from here in America? What's better? What's worse?   How are their acne/blackhead/face products? Do they work good? Do they have nice, dark eyeliner and makeup? I need to know all you know, please!
