20071223135331AAUA8HJ	Entertainment & Music;Polls & Surveys	?Que haces en este mismo momento aparte de estar en YR??	yo voy a irme a comer
20080531080740AAvSS9T	Entertainment & Music;Music;Rock and Pop	Chi butteresti dalla Torre Parte Quarta... Entrate!!?	Ed eccoci alla quarta sfida.. dopo il grande successo delle prime 3 tenutesi lo scorso: domenica, martedì, giovedì.. oggi è sabato e la sfida ci tocca!!!      Vi propongo sempre la stessa domanda ma i gruppi cambiano.. Se proprio fosse costretti a sciegliere tra queste band/cantanti, chi Buttereste dalla Torre??      Vi propongo come sempre 6 coppie di band o cantanti e dovete dirmi rispettivamente x ognuna chi buttereste.. Vi ricordo che in alternativa potete buttarvi voi =) e che appena un gruppo viene buttato x sempre verrà perso il suo patrimonio musicale.. X ogni scelta dovete indicare anche il motivo..  Ecco gli artisti di oggi:      Chi butteresti tra:   1 - Queen o U2 (scusate ma non sapevo chi accoppiarci.. li ho consumati tutti i migliori!!!)   2 - Black Sabbath o Scorpions    3 - Genesis o Motley Crue   4 - Nine Inch nails o Smashing Pumpkins   5 - Radiohead o Coldplay   6 - Avril Lavigne o Alanis Morisette         RISPONDETE IN TANTISSIMI E STELLINA OBBLIGATORIA!         PS: I generi non sempre compaciano.
20080505100429AAzS5N8	Entertainment & Music;Other - Entertainment	Gigi D'Alessio?!? Ma PERCHE'!!?	mi date una ragione valida per cui se vado sul sito della Green Day Authority mi ritrovo circondata da banner pubblicitari di GIGI D'ALESSIO?!?!?      Succede anche a voi? Provate un pò....   Non vorrei avere un virus malefico!    http://greendayauthority.com/ 
20080418015806AAd03q1	Entertainment & Music;Other - Entertainment	Secondo voi un punk potrebbe avere un orientamento politico di destra?	O invece, potrebbe averlo di sinistra?      Voglio il vostro parere nudo e crudo
20080512084129AAK8gtC	Entertainment & Music;Music;Rock and Pop	Domanda sui Blink 182... ! Forse un pò stupida.....?	Scusate ma io non ho mai capito una cosa!!! Okok non ditemi parole ! Lo so da me di essere ignorante xD   "182" Ho sempre sentito pronunciarlo in italiano ! Ma si direbbe davvero così??? Oppure "onehundred eighty two"??   Perchè ad esempio Sum 41 si dice in americano ! Ma Blink 182??? xD   Grazie a tutti!!!
20080524090947AAkROZ9	Entertainment & Music;Music;Rock and Pop	Qual è o quali sono i vostri gruppi/cantanti del cuore???	Fate una mini classifica!
20080523083850AAIIaOw	Entertainment & Music;Television;Other - Television	Ke ne pensate di questa fine di oc?	Vi è piaciuta come puntata???   A me tantissimo!!!! Soprattutto il matrimonio tra Seth e Summer!!!! *_*   Ke dolciiiiiii ! Ke emozione quando l'ho visto!!!! hihi
20080322102644AAEz1IN	Entertainment & Music;Television;Other - Television	Qual è la vostra pubblicità preferita?	Lo so a volte sono davvero fastidiose le pubblicità xò ce ne sarà qualcuna ke un pò vi attira... Io adoro quelle di Sky e della Vodafone! Troppo forti!
20080320064835AAV68wc	Entertainment & Music;Music;Rock and Pop	Qual è la canzone più bella tra quelle lente dei Green Day?	Tra tutti gli album qual è quella ke vi ha colpito di più?   Ciao!   W i Green Day!
20080424113424AAOgALQ	Entertainment & Music;Television;Other - Television	Quali cartoni animati guardavate e adesso?	io ne ho una sfilza..a guardare su youtube le sigle mi è venuta nostalgia! ^'-^    non so perchè ma quando ero molto  piccina adoravo Holly e Benji!! poi Pollon,Ransie la strga,sandy dai mille colori, è quasi magia Johnny,Ranma,Gigi la trottola,Rossana,piccoli problemi di cuore,Terry e Maggie,Georgie,kiss me Licia e i cavalieri dello zodiaco!
20080322125654AA5dk7s	Entertainment & Music;Music;Other - Music	Le vostre canzoni preferite dei blink 182?	N/A
20080526093024AAMoFgV	Entertainment & Music;Music;Rock and Pop	This is the new ****?Questa e' la nuova *****?	non e' la nuova m.e.r.d.a?qualcuno li paragona ai White Stripes sec voi e' vero o no?   Sec me fa abbastanza schifo anche se e' orecchiabile,il testo e' stupido cmq..parla del fatto che nn sanno il suo nome e la chiamano cn i nomi piu' impensabili!
20080317012538AARAsXr	Entertainment & Music;Polls & Surveys	Que apodo le pondrias al avatar de arriba?	es un juego, hay que aguantarse      se vale de todo !!
20080322230634AAJhGN2	Entertainment & Music;Polls & Surveys	=( intoxicación por fresas =S... es el colmo!!!  Ma?ana no estare =(?	N/A
20080316132110AAK0174	Entertainment & Music;Comics & Animation	Where can i find free online manga to read?	N/A
20080405031803AAyeJ6u	Entertainment & Music;Polls & Surveys	Que te inspira el avatar de arriba?y el de abajo?	Bueno teniendo en cuenta que el primero soy yo ya saben
20080315202603AAxLI7R	Entertainment & Music;Polls & Surveys	Tu grupo, banda, solista, etc, favorito??	apoya o debate, o dime cual es tu favorito      para mis The Beatles y Nora Jones, y tu?
20080322130228AABW9bC	Entertainment & Music;Television;Other - Television	Spot pubblicitari e canzoni?	cia a tutti sto cercando una canzone di uno spot pubblicitario di una macchina,che pero nn ricordo che macchina sia. :)      non è proprio una canzone,la voce è di un uomo,sembra quasi una canzone da chiesa piu o meno,nn ricordo neanche le parole...   bho  muumuu
20080531100335AATpxH0	Entertainment & Music;Music;Rock and Pop	La vostra voce preferita??	kual'è la voce piu bella dei cantanti rock o metal sekondo voi???
20080402181208AAv1OP4	Entertainment & Music;Music;Singing	How many people has are in a triple trio?	How many?
20080516162932AAdvHgz	Entertainment & Music;Music;Rock and Pop	Qual'è il miglior rocker italiano ?	-Vasco   -Liga   -Piero Pelù   io personalmente preferisco Liga e Piero...però devo cmq ammettere la bravura e lo stile inconfondibile di Vasco...   ora stà a voi...   ditemi ke ne pensate...   10 punti alla risposta più sensata e coerente... ;-)
20080407133620AA2QhTq	Entertainment & Music;Music;Lyrics	Vediamo un po'...Ditemi se questa canzone vi rappresenta?	ATTENZIONE: Per evitare commenti inutili dirò solo alla fine di chi è questa canzone, vi prego di evitare di dirlo, altrimenti diventerebbe un casino, lo capirete alla fine...      Strade deserte   Note distorte   Componi per lei   Si è fatto buio già   Ore seduto   Su un marciapiede   Sotto un lampione   Sai che lei non tornerà      E' un lamento continuo   Di frasi che ormai   Sono andate, sparite   Mai più sentirai   Ti aspettavi di udire   "Sei il solo per me"   Metti l'anima in pace   Quei giorni son già   Fumo e cenere      La nebbia sul viso   Nasconde il sorriso   Di quei giorni in cui   Lei era accanto a te   Riassaggi i momenti   Scorrendo i messaggi   Ma solo quelli più dolci   Non li cancellerai      Il tuo mondo   Sta andando a *uttane   Oramai   Puoi reagire ma forse   Non è ciò che vuoi   Preferisci esser vittima   Non guarirai   Non mollare   E' un consiglio   O ti ridurrai   Fumo e cenere
20080320121906AAlsFYi	Entertainment & Music;Polls & Surveys	Si pudieras elegir tu color de ojos... ?Cuál elegirías?	?Gracias por responder, y felices Pascuas a todos!
20080512002630AA2MrwG	Entertainment & Music;Other - Entertainment	Que significa xD?	veo que lo ponen en todos lados
20080528115043AAPgR88	Entertainment & Music;Music;Rock and Pop	Simple plan vs Sum41???	ki vince? preferite i SP cn perfect, take my head, your love is a lie e welcome to my life o i S41 con with me, underclass hero, the bitter end e pieces??? alzate i pollicioni, accendete stelline e rispondete in tantiii! :-)
20080528115110AA1EgwN	Entertainment & Music;Music;Rock and Pop	Simple plan vs Sum41???	ki vince? preferite i SP cn perfect, take my head, your love is a lie e welcome to my life o i S41 con with me, underclass hero, the bitter end e pieces??? alzate i pollicioni, accendete stelline e rispondete in tantiii! :-)
20080314222359AAP4w7Q	Entertainment & Music;Polls & Surveys	Por que nos pueden HERIR TANTO?  :(?	N/A
20080322190315AAQqhA6	Entertainment & Music;Polls & Surveys	Han visitado el chat yahoo, ?que les parece?	yo visito, la sala tema del dia, y uds,  podriamos elegir una sala donde nos podamos relacionar todos los de yr respuestas, que les parece.
20080322095255AAQ01Lm	Entertainment & Music;Music;Rock and Pop	Gli Answeriani sono Punk,Emo o Dark ?	Ciao ragazzi,sono tanto curioso di sapere se gli answeriani sono Emo, Punk,Dark o altro (specificate cosa)...?   Grazie    X Favore accendete una stellina questa domanda deve girare in tutta answers ....   se poi x voi nn è interessante nn fa nnt.   Thanks
20080530141036AAnqx5C	Entertainment & Music;Music;Rock and Pop	CANZONI nuove?!?	quale è la vostra o le vostre canzoni preferite ??? parlo delle ultime uscite la mia è 4 minutes di madonna
20080325072944AAnT6UN	Entertainment & Music;Music;Other - Music	Quanti fan dei GREEN DAY ci sono su answers???	N/A
20080501082935AArSTcB	Entertainment & Music;Music;Rock and Pop	Bill Kaulitz, ecco la sua nuova voce ^^?	Ehi, ho trovato questo video ... purtroppo la qualità non è una delle migliori e l'audio è strabasso, quindi consiglio di alzare il volume un bel po'...comunque una registrazione (no video solo immagine e audio) dove si sente bill con la sua nuove voce..Ecco il video:    http://it.youtube.com/watch?v=0hyE7ngbpi...       Enjoy it
20080531131706AAaE1OQ	Entertainment & Music;Music;Rock and Pop	Punk: se uno lo ascolta è per forza comunista, anarchico e senza religione?	Io ascolto il punk ma sono cristiano convinto, la politica non mi interessa e in più se una persona mi vede dal vivo non sa che musica ascolto finchè non lo dico.
20080526104432AAWswmt	Entertainment & Music;Music;Rock and Pop	Foxboro Hot Tube,questa faccia dei Green Day mi piace davvero tanto,a voi?	li ho sempre considerati poco come Green Day,il loro "punk" non mi piaceva (come il restate altro,esclusi clash e sex pistols)...ma questo loro side project mi piace davvero...un lavoro spensierato che non è costretto a rimanere negli stretti parametri del "punk",forse proprio per questo hanno mutato il loro nome...
20080308170400AAuJccY	Entertainment & Music;Polls & Surveys	Juego de Avatars!!!!!!!!!!!!!!!!!!!!!!!… (He Vuelto)?	Si un avatar se ahogo en el mar y tu tienes que darle respiración boca a boca...?A cual avatar eliges para darle respiración boca a boca?
20080309104533AAhL88C	Entertainment & Music;Music;Rock and Pop	Lynyrd skynyrd?	qualcuno sa se dopo il concerto dei trentanni i lynyrd skynyrd hanno fatto altri concerti e se ne faranno ancora
20080314223724AAHtZrh	Entertainment & Music;Polls & Surveys	?Qué le cambiarías al mundo?	N/A
20080314224743AAczwDv	Entertainment & Music;Polls & Surveys	Está mal que me ponga celosa porque mi novio se va a despedida de soltero???	Cuando empezamos a ser novios yo le pregunté que si él había ido en su vida a un table dance y me dijo que sólo una vez... después hace poco salió el tema y él me dijo que sí había ido más veces cuando no eramos novios y que me había dicho eso porque le daba pena contármelo.. Ahora nos vamos a casar, él siempre (fuera de eso) ha sido MUY sincero conmigo, es el ni?o más noble pero tambien muy relajiento, y me ha dicho que si a mí me molesta, en su despedida de soltero NO va a ir a ninguno y que sus amigos ya lo saben....Pero la verdad esque yo sé que a sus amigos les encantan esas cosas y sé que le van a insistir para ir a alguno y la verdad es que si él está demasiado borracho yo no tendría la certeza de que no fuera... además del hecho, me da miedo que cuando regrese de su viaje me mienta para que yo no me sienta mal..   creen que sí vaya con strippers??   está mal que me enoje??? (esque siento que está mal hacer eso!!)
20080315212619AALFDg1	Entertainment & Music;Polls & Surveys	Cómo hacer para que más personas respondan la pregunta??	Yo no estoy pidiendo obtener muchas respuestas ni nada por el estilo. Solo quiero saber cómo hacer para que muchas personas respondan una pregunta, porque ví que hay preguntas que obtienen mas de 100 respuestas en menos de 1 día.      Gracias
20080316020043AAhhkyL	Entertainment & Music;Polls & Surveys	Esperen estoy pensando algo nuevo.........Juego de Avatars!!!!!!!!!!!!!!!!!!!!!?	Cual es la materia favorita del avatar de arriba?      Matematicas?   Ciencias Sociales?   Ciencias Naturales?   Computación?   otra?
20080316215954AAXgGBy	Entertainment & Music;Polls & Surveys	Como me puedo masturbar?	N/A
20080317083911AApWgWH	Entertainment & Music;Music;Rock and Pop	Se i green day non sono contro la religione allora come spiegate...?	come spiegate la canzone jesus of suburbia???   vi dico sn un loro fan da poco.. e vorrei sapere qlks di + su di loro... capto?   grazie   ciao
20080411101346AAfn6ni	Entertainment & Music;Music;Rock and Pop	GrEeN DaY??? a chi piacciono? song preferita?	boulevard of broken dream, time of your life mi piacciono un casino.. ma poi quasi TUTTEEEEEEE   e voi?   ciao
20080320092153AA93zED	Entertainment & Music;Music;Rock and Pop	Green day 2008 album?	ho letto ke è uscito l'album in incognito dei green dai ovvero stop drop and roll sotto falso nome di foxboro ho tubs. adesso mi chiedo: su alcuni siti c'è scritto che i green hanno molti brani (45 traccie) e che devono selezionarle, quindi qst album sotto falso nome è qll del 2008 o ne faranno un altro a momenti?? anche perkè in qst qua ci sn sl 6 traccie e nn mi sembrano tnt...!!!!!!!!! vi kiedo quindi se ci sarà un altro album dp qst stt falso nome grz mille ciao
20080320122340AA53LkD	Entertainment & Music;Polls & Surveys	?Que opinan de los que clonan nicks para hacer preguntas tonta?	En la red existen tipos llamados trolls, que se dedican a molestar a otras personas clonandolas y colocandolas en portales de sexo, o agrediendo a otras personas usando el perfil de alguien a quien odian, o a quien no han podido ganarle un debate jamas
20080320133226AA5Hjfk	Entertainment & Music;Movies	Hay muxas en nik x la noxe?'?	N/A
20080322131106AANdrhH	Entertainment & Music;Music;Other - Music	Qual'è il vostro genere musicale preferito??	Ciaoo a tuttiii!!!    Una mia semplice curiosità:   qual'è il genere musicale che preferite o ascoltate di più??
20080322134926AAUYS9j	Entertainment & Music;Television;Comedy	Contatti msn...?	qlkn ha il contatto msn....di micol olivier(alice dei cesaroni)..matteo branciamore(marco)...ludovico fermont(walter)...alessandra mastronardi(eva)...risp in tanti...
20080330062626AA1loa7	Entertainment & Music;Music;Rock and Pop	Gruppi rock...?	Ragazzi mi potete dire i gruppi d musica rock moderni più bravi in assoluto????   grazie mille
20080405010923AAQJWBx	Entertainment & Music;Polls & Surveys	Es cierto o no, que en los hombre el tamano del piel las mujeres lo podemos asociar con el tamano de su...?	es cierto que el tamano del pie importa. las mujeres lo podemos o no podemos asociar con el tamano de su organo reproductor?
20080406121206AAZbws6	Entertainment & Music;Music;Rock and Pop	Per i fan dei GREEN DAY!?	Avete visto la foto di trè cool (batterista dei green day) travestito da "Benji madden" dei good charlotte... i due gruppi si sa che sono amici! lo sono da sempre. http://photobucket.com/images/trenji%252... 
20080410083543AAB1AiQ	Entertainment & Music;Music;Rock and Pop	Qlkn sa se qst anno i Green Day verranno in Italia?	N/A
