20090227102847AAILVOP	Education & Reference;Special Education	Ntse!!!!when is the ntse result for class 8 first level of this year coming out for the state of orissa?	when is the ntse result for class 8 first level of this year coming out for the state of orissa?
20090227143819AAzta1v	Education & Reference;Higher Education (University +)	Concerning the recent Hazing charges within the Texas A&M Corps of Cadets: What outfit are they out of?	It's been real quiet up here about real specifics concerning this incident. I mainly want to know what outfit these guys were/are in.
20090310013442AA8YJUw	Education & Reference;Primary & Secondary Education	Should sophomores engage in relationships?	We're having this debate in our school, and we're on the positive side. Please help us. I need your comments about this. Thank you.
20090310013721AAUjrZ0	Education & Reference;Other - Education	Does Rodrigo die in Othello?	Does he die, or is he just wounded?
20090310020640AAWkOMm	Education & Reference;Words & Wordplay	Why can't we........?	Bring the Tibetan people, and their culture to America? I just read about the damage the Chinese society has caused these people and I wonder why we cannot offer these people safe haven in America. We have huge swaths of deeply isolated and mountainous regions in the Rockies that would be perfect to accommodate their culture. They are a very self sufficient people, and certainly are too proud to take anything from our society without returning something of equal value.      What I would like to know, as an American, if we are so powerful,and so right, and so much more civilized, and more free, and more advanced than anyone else on Earth, then why can't we help these people that are currently living in conditions that have been quoted as being "hell on Earth". Clearly the Chinese do not want them there, and clearly the Tibetans do not want to be ruled by them.      Are we so ignorant and ego-maniacal, that we cannot offer a legitimately oppressed culture safehaven in the United States. Obama has said that he is about hope and change. Does that hope and change stop at the border or do we have any intention at all of sharing or spreading freedom to all those who wish it, or do you think we should have just tore down the statue of liberty on the day of 9/11/01?       Every day we lose more and more of our freedoms, while the rest of the world looks to us for hope and change. Pretty soon, we will be the ones needing safehaven, and you know what the world will tell us? I won't say it here, I think you all know. There is no reason why we cannot open some of our unused land to those who are capable and willing to make use of that land to preserve their culture. Perhaps the Tibetans could teach us a thing or two about self-reliance and respect for nature as well. Seems like a fair trade to me. What about the rest of you? I look forward to some of your answers.       http://news.yahoo.com/s/ap/20090310/ap_o... 
20090310022155AAHBwty	Education & Reference;Higher Education (University +)	Help, no one wants to be in group with me :(?	Hi,      We have laboratory exercises in physics in college. There are 8 exercises, and every group must submit a report, in order to go to exam. My problem is that nobody wants to wark with me. I'm really scared - will I survive?
20090310020236AAAJlAc	Education & Reference;Words & Wordplay	What is bw, cw, e1w cable  gland? can you give me what  its stands for?	N/A
20090310023434AAZvhLl	Education & Reference;Primary & Secondary Education	What can I do with this kind of school principal ? Please Help me!?	My son is in Primary 6 (12 yr old) and I was told by many students when I went to school to fetch him this afternoon, they told me that they witnessed the school principal blame him wrongly during recess time while my son was eating, she didn't give him a chance to explain and yell at him :" act stupid＂ after flung a bag of uniform onto his face !!! I don't even know which department can give me a helping hand ? Thank you.
20090310014622AAXgNlX	Education & Reference;Quotations	Help with a quote please? About retelling history is the best way to prevent repeating it?	My English teacher said it once, and I asked him but he couldn't remember.   Please help, it you don't know who said it, then that's fine, I just need the exact words.
20090310014526AA7KGfr	Education & Reference;Financial Aid	Would I receive both grants or just one ?	I am currently about to start my courses at a local technical college so I can receive a TCS (Telecommunications Specialist) Certificate so I could transfer to almost any college or university in Georgia, if I meet transfer requirements...I was told by someone in the financial aid department that I wouldn't receive the Pell Grant because I'm just receiving a certificate,but if I were trying to get a degree or diploma I would receive it. I know I'm guaranteed to get the Hope Grant though. Is this true..or somewhat true ?
20090310023209AAQKIjB	Education & Reference;Homework Help	Quick can someone help me with year 10 math work!!?	 http://artpad.art.com/gallery/?kgaacwxjz...       Please show how you got the answer      Thanks a million :]
20090310015210AAZX7oZ	Education & Reference;Homework Help	Questions on the 'Amistad' case (pls help me asap!!)?	Okay, I have to write an essay answering these questions:      - What evidence is there to suggest that the Supreme Court’s “Amistad” decision had a major effect on public opinion and helped hasten the arrival of the Civil War?       - How might the “Amistad” case have contributed to the abolition of slavery?      I personally hate the questions....   i mean.. it's not really THE Amistad case that abolished and changed views of slavery... it was happening gradually and the Amistad case was just an event in its process.      i don't really understand how I am supposed to respond to these questions. Please help!!
20090310015129AAQGe6H	Education & Reference;Homework Help	I need a short story/song or sumthing that contains change for english?	im in yr 11    and for english i need 2 short storys, song or some text that contains a message of change
20090310014132AAO74W9	Education & Reference;Words & Wordplay	What is ad hoc basis?	I have missed a couple of my philosophy classes and unfortunately i missed a test. My professor says that make up tests are on a ad-hoc basis. What does this mean?
20090310022227AAHye3z	Education & Reference;Homework Help	Can you look at my speech?	Hi my speech is on genetic modification. Can you guys look at it and tell me if you like it or not so far? It is not finished. and thanks or your time :D   .........................................      Have you ever dreamt of having a child who looks like Harry Potter? Well it is no longer considered magic but it is very much in the face of reality. Yes you can make you child look like Batman or superman and they could break through metal walls and flying with X-ray vision and saving the world from destruction. OK maybe not that far but you get what I mean. Yes this ‘magic’ is called Genetic modification or genetic engineering. It is possible to make your children look like Tom Cruise; Genetic Modification goes so far that scientists say that they can give a brain which is as smart as Albert Einstein. Can you believe it; you can have someone who looks like Paris Hilton with the brain of Einstein! You are probably thinking that this is too good to be true and that I am probably lying but let me explain to you what Genetic Modification is and the many advantages it brings along with the many problems it may create in the future.      Genetic Modification! The name says it all, it a bit like cloning except for some difference. With cloning you can make someone look identical to their parents. But Genetic Modification can change the characteristics of a living organism or you can even remove bad genes which run in the family, for example cancer, heart disease and eye-sight problems. Plants and animals can be given characteristics. To do this they change the DNA in the nucleus of the cell. If they want to put in a specific gene, the use a gene gun, it fires microscopic bullets; no these are not life-threatening bullets coated with gunpowder but ones coated in foreign DNA into a plant or embryo, embryo is just another fancy name for a fertilized egg. The foreign DNA combines with the host’s DNA and alters the host’s genetic make-up.      Simple, isn’t it? This technology allows us to physically change the appearance or any genes of a plant or animal. It brings with it many advantages. Genetic Modification is becoming very popular in plants and mainly is aimed at crop production. Using genetic modification they can improve the quality of the crops like flavour, appearance and nutritional value. They can also increase the tolerance of the crops, like less need for water. Genetic modification food supporters say that Genetic engineering is essential in feeding the worlds population. The reasons for this is that in countries where the soil is poor using GM they can make the crops grow in those conditions and can make summer crops grow in winter.
20090310021717AACrsZl	Education & Reference;Higher Education (University +)	Can the accountants out their help me?	Hi i need help with this accounting question.      Tom's business had assets of $63,000 and liabilities of $21,000 at the beginning of the year. At the end of the year the assets were 90,000 and the liabilities were $30,000.Drawings for the year were $24,000, and Tom contributed a van costing $15,000 to the Business during the year.      Calculate the Business profit for the year-      It will be helpful if you showed how you got the answer, and thanks for your time :D
20090310015304AACJzlR	Education & Reference;Words & Wordplay	MAKE A GOOD SENTENCE WITH " STEALTHY"?	N/A
20090310015427AAsIzh4	Education & Reference;Homework Help	What is the cellular basis of cancer?	simple language please everything i look up has confusing things written under it
20090310023800AANNxye	Education & Reference;Higher Education (University +)	What school is better,  Academy of Art University in  San Francisco or Otis College  of Design in LA?	for mostly advertising design but also all around
20090310014320AA6MzwN	Education & Reference;Words & Wordplay	What 6 letter word can u make out of this?	What word can you make out of the following letters?       R B U G E O
20090310015341AADA8YE	Education & Reference;Other - Education	Is diploma in Quality assurance worth doin?	This institue IPER pune offers diploma in QC.should i go for it.Is this a institute of repute.pls help
20090310022400AA4oUBp	Education & Reference;Higher Education (University +)	College Stress !!!!!!?	The internet in my area goes out a lot. and where i live, theirs no where to go that will provide a computer. It's like a ghost town. But the internet went out for 4 days, and i told the professors about the situation. I take an online course for the University Of Phoenix. But there response was, shocking. They said it was not there fault, and I received a 0. This is just to base ur opinions. Thank You.
20090310021937AACcYzQ	Education & Reference;Homework Help	Science and literature...?	I need two definitions. one for science and one for literature please. it's urgent. I'll even reward the best answer with the 10 points
20090310014252AAyAV0t	Education & Reference;Primary & Secondary Education	Senior Schedule, need help?	AP Calc BC   AP English Lit   AP Gov't   Vietnamese 4   AP Physics C   Student Aide      or should I drop AP Physics C and take Physiology? Which schedule would look better, especially if I am hoping to get accepted in a certain California private university...? x]
20090310014054AAVje7a	Education & Reference;Primary & Secondary Education	Should I drop out of High-School?	Well first off, I'm a year 13 at a New Zealand private school (which is our equivalent to a USA senior I think?) and I already know that when I leave school I want to study fashion design.       There is a college near my current school which offers a foundation arts course (because I haven't taken an year 12 art course, which I would need to get into an art school) for 17 year olds who have left. This would teach me a lot of general skills, and allow me to later on in the year to go on to projects more fashion specific. I would also have a portfolio at the end of the year to submit to other BFA courses.       This seems like a really good option, but I'm not sure if it would be the most practical choice. I really hate the idea of dropping out of high-school, as I kind of feel like I'd be giving up, but my school doesn't offer any courses fashion related, and I don't feel like I 'belong' in most of my classes. At the moment I'm working towards getting my English and Geography A levels, but I'm not doing particularly well, it seems like I'm just wasting my time.        I do really like my school however, It's an amazing place and I'm not keen to leave that environment and my friends, before I have to. If I left I'd also miss out on things like my Senior ball and the Production, and I would be losing touch with alot of people.      As much as I love it though, because it's a Private school, My mum is paying 15 thousand a year for me to be there, and I feel guilty staying even though I know I'm not getting anything out of it.        By the way, I do have New Zealand University enterance, and If I had wanted to, I could have gone to Uni this year, so I wouldn't be leaving with nothing.       Any input would be very, very much appreciated, I'm quite lost at the moment.      Thanks! :)
20090310023726AARbGhc	Education & Reference;Studying Abroad	UK Ancestry Visa and Universities?	Does having an Ancestry Visa mean that I would be able to pay the Home/EU tuition fees, rather than the international university fees? (I was born and am currently living in New Zealand.) I'm probably not that lucky but I just thought I'd ask :)
20090310014645AA3l9eL	Education & Reference;Words & Wordplay	Is this sentence a fragment or need a comma?	In the distance the faint sound of the piercing ambulance siren ready to admit another victim.
20090310022441AAt5FgB	Education & Reference;Words & Wordplay	How bout this sentence?	In the distance I hear the sound of the piercing ambulance siren draw closer as the ambulance arrives to admit another victim. Where do I need commas
20090310023615AA1ytL4	Education & Reference;Other - Education	HOW TO IMPROVE ENGLISH..?	well i know the english gramer well, but cant speak ..   do u guys know any website where i can practice english speaking..   or any other method...   i don't have any friends to talk in english...
20090310015404AAVKaHz	Education & Reference;Homework Help	Help urgently!!!!!!!!!!?	How can I make a marble go the furthest with a 1 paper cup,4 rubber bands,4 pop sticks and 4 straws.?   And we need one more thing to add to it to make it go further, but i'm not sure what. And I can't fling it with a rubber band because we need to use the cup!
20090310015906AAnDHBs	Education & Reference;Other - Education	Has anyone use page129.com? and can you please explain your expirence?	i saw a poster at school and was interested. please real/nice answers only :)
20090310020015AAv6Iwe	Education & Reference;Homework Help	What to include in a commitment letter?	My whole class got a detention and now we have to write a commitment letter to Drama.    Its obviously just a letter saying we commit ourselves but what should i include?      thanks. best answer.
20090310021455AAsef8X	Education & Reference;Words & Wordplay	???????????????????????????	ok so i have a small acne problem. but who cares right? wrong...       i have just moved onto another highschool, and there are these guys who bag me. i confronted one of them and they said they said nothing. but i had proofe, because my bestie copied and pastes the convo on msn. imitation of them:      "no offence, but u have acne" then start laughing.      its not like i dont know i have it! its really pissong me off. im so over it and i hate school because of it! help. thankss
20090310020220AALh5mn	Education & Reference;Higher Education (University +)	Custom made essays/dissertations?	hi has anyone ever paid these companies which are advertised online to guarantee you a 2:1 at university? if so did it allow you to get the grade they said?
20090310020244AAhc5WR	Education & Reference;Homework Help	Tuberculosis. assignment help due tomorrow.?	This task is on infectious diseases caused by pathogens. I've chosen tuberculosis. I can find the symptoms for question 5 but i can't explain HOW the pathogen causes this. I don't know for example what exactly the pathogen affects which causes tuberculosis sufferers to start coughing up blood. Any help is appreciated.      5.  List 4 symptoms of the disease: Chronic cough with blood-tinged putum (mucus), fever, night sweats, and weight loss.   6.  Explain 4 symptoms of the disease.
20090310020937AAAK4Eg	Education & Reference;Special Education	My NTSE role number 140090701231, please let me know my result?	N/A
20090310023615AAIeAqq	Education & Reference;Words & Wordplay	What are the longest words that can be read in these words: RGREDNUO?	N/A
