20090304162506AALGSL3	Society & Culture;Religion & Spirituality	Can one be Gay and still be accepted by ones religion?	If not, why not?
20090304233447AAsr3Br	Society & Culture;Religion & Spirituality	What is the reason to stretch the earlobe?	is there a religious reason behind it
20060829215145AA50sG8	Society & Culture;Other - Society & Culture	What do you think about a guy/girl that farts loudly on a date ??	thoughts ??
20061216075802AAm8HyK	Society & Culture;Languages	Can anybody help me in my french homework ?	i have some sentences that i need to correct they r like 6 or 7 so i cant write them in yahoo answers plz if ur ready to help tell me ur email :)
20070218120421AA0NIeM	Society & Culture;Religion & Spirituality	Is being a good person the same as being a good buddhist?	N/A
20070313032352AA2gN2w	Society & Culture;Religion & Spirituality	When/how the seven-day a week cycle begin?	I couldn't find any strong fact about the begining of the seven-day a week cycle outside the Bible's creation. Does anyone have any knowledge?      It doesn't goes to the month and neither to the years.
20070512073107AAUy4SO	Society & Culture;Religion & Spirituality	How can 5 year olds be "saved" by the blood of Jesus Christ?	I mean they still expect presents from Santa, Chocolate bunnies from the Easter Bunny, and money form the tooth fairy..... How does Stupid Jesus hold up to Santa? Jesus is pretty lame really!!
20070711221224AAjLFLm	Society & Culture;Religion & Spirituality	Why aren't right wing fundies concerned about the sin of greed as much as they are concerned with homosexuals	N/A
20070716165209AAxY03n	Society & Culture;Other - Society & Culture	Que nome vc n?o daria para seu filho?	N/A
20070723103021AAE09BD	Society & Culture;Languages	Burger-flipping: Qual a tradu??o dessa palavra?	N/A
20090304225855AAZCua4	Society & Culture;Religion & Spirituality	What do u know about the coming of christ?	and that we are in the end time
20090304230303AASGTBs	Society & Culture;Languages	What does lahayem or is it lahayam mean? its a jewish thing?	N/A
20090304230036AAICxH2	Society & Culture;Religion & Spirituality	Is it proper to say that I am atheist or an atheist?	N/A
20090304230211AAqYEFp	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	How do i react to asking a girl out?	im planning on askin the girl i liketo be my girlfriend.. im gonna put a huge banner over a wall and im gonna walk her to it and tell her to look up.. how would i react or say if she says yes and if she says no
20090304230334AA3xeKG	Society & Culture;Other - Society & Culture	Why are Asians sycophants to Whites?	I have noticed that Asians really seam to worship Whites. I notice that Asian girls seem to date a white guy before they will date a Asian guy and they are cool with other minorities until whites come around. I also notice the culture, even in their stories they will fantasize about being white i,e Manga.
20090304233704AAcpHtf	Society & Culture;Religion & Spirituality	If god is all know and all seeing why does he have a problem handling money. why must people gave money to god?	N/A
20090304231020AAwg8ox	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Guys which would u rather??	would u rather a hot girl who has a sluttly attitude or a average girl with a nice personality. So basically, do u go for the looks or personality in a girl?
20090304231049AAP3Dws	Society & Culture;Languages	Translation from english to cantonese?	can somebody accurately translate this to cantonese?      "I think we should get together." (dating) Guy saying to a girl...
20090304231133AAazj53	Society & Culture;Other - Society & Culture	Does refusing sexual contact make a person humble?	For example, if person A started kissing person B passionately, and person B knew it was against their morales and what was right, would stopping this contact make them a humble or modest person?
20090304231306AAN1iua	Society & Culture;Religion & Spirituality	Bible prophecy and 2012?	Where does the Bible pinpoint 2012 as the year that God will put an end to homosexuality?  I know its in the Bible somewhere.
20090304231431AAG0T9j	Society & Culture;Religion & Spirituality	How can a Buddhist girl convert to Islam?	What is the exact procedure to convert to Islam?   Are Muslim women accepted by the societies in this world especially in European & us countries? Will it be difficult to find jobs in these countries?
20090304233215AA6thDt	Society & Culture;Languages	I need french help now! presentation tomorrow!?	i'm trying to say, " in the beginning, she had a closet which was small, dark and disorganised. "       i have tried my best and translated this to :    " au debut, elle a un placard qui est petit, sombre et desorganise."    but if it is " au debut " should " elle a un " be passe compose?    and can i use "qui" with objects?     THANK YOU.
20090304231810AAPBI3C	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Is it possible for a man to get aroused at anytime?	This may be strange but my friend told me she had gone on a job interview the man that was interviewing her was in his 50's. She is only 25. She thinks he was aroused by her during the interview she said it seemed he was more interested in her chest rather then in her experience and background in relations to the position she had applied for. She said that she was looking at him when he would talk to her and his wondering eyes would end up staring at her chest. She is a 36 E "yes implants" could that be the issue before they were done talking she said he had nothing else to say but that he wouldn't stand up and try to find several of lame things to talk about and when they were departing she said he pointed her to the door and did not walk her out and the man stayed in the conference room she noticed he stared at her butt when she was leaving she saw him through a mirror.  Is it possible that my friend might be taking this a wrong way and is being a little paranoid or could it be true? My other question is do men at that age can still get it hard? Could such thing's turn them on at that age? I mean could a woman at an interview possibly get him aroused?
20090304231910AAYXHvd	Society & Culture;Holidays;Ramadan	Can someone translate this into English for me?	 http://www.cartage.org.lb/en/themes/geog... 
20090304232002AApZFeK	Society & Culture;Other - Society & Culture	Facebook "how we know each other" Could it be a joke if it says they hooked up?	A girl I know is friends with a guy on facebook.  Under how we know each other, it says "they hooked up 2 years ago and it was pretty much the greatest we've ever had"  I find it surprising that this girl would "hook up" with some guy.  She's even a member of a virgin group.  Do you think it might have been posted just as a joke?  Especially since it says "it was pretty much the greatest we've ever had?"
20090304233514AACdKE9	Society & Culture;Religion & Spirituality	What aspects of Evolution do creationists find hard to swallow?	N/A
